Alpha_Cell,Beta_Cell,Delta_Cell,Gamma_Cell,Acinar_Cell,Ductal_Cell,Endothelial_Cell,Epsilon_Cell,Macrophage
,,,,P2RX5,,MEOX2,,C5AR1
,,,,LEP,,ERG,,CD300A
,,,,UCP1,,HEXIM1,,CXCL2
,,,,CIDEA,,GLYCAM1,,CCL7
,,,,PRDM16,,CD55,,CCL2
,,,,LHX8,,MMRN1,,IL1B
,,,,EPSTI1,,C7,,IRF5
,,,,MC2R,,RAMP3,,AHR
,,,,FFAR2,,VEGFC,,MYO1G
,,,,PIKFYVE,,GJA5,,DUSP5
,,,,CYP11B2,,HEY1,,GPR171
,,,,TLR2,,RND1,,CCR7
,,,,TLR4,,BDP1,,DNASE1L3
,,,,ADRB1,,CD46,,CXCL1
,,,,ADRB2,,MEOX1,,SAMSN1
,,,,ADRB3,,CCL19,,NR4A3
,,,,FABP4,,CLCA3A1,,CCL22
,,,,TNFRSF9,,MADCAM1,,S100A4
,,,,TBX1,,CYP1B1,,MMP9
,,,,TMEM26,,IRX3,,HILPDA
,,,,TCF21,,BIRC2,,NRP2
,,,,ADIPOQ,,LYVE1,,SLC37A2
,,,,CFD,,SEMA3D,,CTSK
,,,,ACVR1C,,SLCO1A4,,CD36
,,,,SLC2A4,,EMCN,,LPCAT2
,,,,LPIN1,,WFDC1,,HPGDS
,,,,PLIN1,,ADGRL4,,IFNAR2
,,,,PCK1,,VWA1,,MS4A7
,,,,PPARG,,ECE1,,SLC11A1
,,,,RETN,,PTPRB,,HPGD
,,,,MEST,,CLDN5,,CCL3
,,,,ADM2,,SDPR,,CLEC7A
,,,,STAT6,,CAR4,,CD5L
,,,,TFE3,,TBX1,,LILR4B
,,,,CPPED1,,SEMA7A,,CCL5
,,,,APPL2,,FOXF2,,CYTH4
,,,,APOL6,,PDGFB,,CLEC4N
,,,,PXMP2,,ECSCR,,CD209F
,,,,CAVIN1,,ELK3,,CD3E
,,,,AGT,,CDH5,,CD19
,,,,SLC1A5,,PLEC,,CD74
,,,,ACSL1,,STAB1,,LYZ1
,,,,CAR3,,TGFBR2,,CSF1R
,,,,BCAT2,,CD93,,LGALS3
,,,,PNPLA2,,CXCL1,,CD68
,,,,CIDEC,,LY6C1,,UCP2
,,,,CDO1,,RGS5,,TREML4
,,,,APOC1,,SLC7A5,,FGR
,,,,MMP2,,ENG,,CYBB
,,,,POSTN,,KDR,,CD200
,,,,LOX,,SLC2A1,,CD200R1
,,,,COL6A2,,EGFL7,,GATA6
,,,,ZBTB16,,FLT1,,H2-AB1
,,,,GULP1,,EPAS1,,H2-EB1
,,,,FZD4,,EDNRB,,IL4RA
,,,,TRIP10,,KCNJ8,,ITGAX
,,,,FGF7,,CD82,,LY6C1
,,,,MAOB,,CHST1,,PPARG
,,,,SOCS1,,PLAC8,,SIGLECF
,,,,ARNT,,TSPAN8,,TYROBP
,,,,SULT1A1,,ETS1,,RGS1
,,,,NNMT,,CD34,,DAB2
,,,,AOC3,,PDPN,,P2RY6
,,,,H6PD,,PROX1,,MAF
,,,,CYP27A1,,EHD3,,LYZ2
,,,,EBF2,,SRGN,,AIF1
,,,,MNDA,,S100A10,,CLEC10A
,,,,HSD11B1,,CLIC4,,ADGRE4
,,,,AR,,LY6A,,ADGRE5
,,,,GDF10,,USHBP1,,CLEC4A3
,,,,CYP1B1,,MYF6,,CLEC4A1
,,,,COL5A3,,OIT3,,SLC15A3
,,,,STEAP4,,IL1A,,AKR1B3
,,,,CCL11,,BMP2,,CYP27A1
,,,,NR1H3,,C1QTNF1,,SLC7A7
,,,,DEPTOR,,PCDH12,,RUNX3
,,,,CYTH3,,DPP4,,SYK
,,,,TUSC5,,IGFBP7,,
,,,,FMO1,,PALMD,,
,,,,ACADSB,,POSTN,,
,,,,XDH,,BMX,,
,,,,RSPO3,,SLC38A5,,
,,,,PTGES,,XDH,,
,,,,CREB3L1,,SPARC,,
,,,,ANGPTL2,,MGLL,,
,,,,ADAM12,,SLC9A3R2,,
,,,,ADH1,,RGCC,,
,,,,LBP,,ICAM2,,
,,,,NMB,,MGP,,
,,,,RARRES2,,SPARCL1,,
,,,,FST,,TM4SF1,,
,,,,EGFR,,ID1,,
,,,,CPXM1,,ADIRF,,
,,,,C3,,CD9,,
,,,,ADAMTS5,,SRPX,,
,,,,MT2A,,ID3,,
,,,,TIMP1,,CAV1,,
,,,,METRN,,GNG11,,
,,,,METRNL,,HSPG2,,
,,,,MYO1C,,CCL14,,
,,,,NQO1,,CLEC1B,,
,,,,SYAP1,,FCN2,,
,,,,CRNDE,,S100A13,,
,,,,AQP5,,FCN3,,
,,,,TSPO,,CRHBP,,
,,,,AZGP1,,IFI27,,
,,,,LRP1,,CCL23,,
,,,,PDE3B,,SGK1,,
